,pred_summary_score,my_pred_summary_score
58,"(0.5803921568627451, 0.4426877470355732)","[0.4603174603174603, 0.5686274509803921, 0.5430711610486891]"
59,"(0.6226415094339623, 0.5904761904761904)","[0.5194805194805194, 0.9302325581395349, 0.8032128514056226]"
60,"(0.6330150068212824, 0.5006839945280438)","[0.5801526717557252, 0.49032258064516127, 0.5059920106524634]"
61,"(0.5829596412556053, 0.497737556561086)","[0.5614035087719298, 0.5714285714285714, 0.5693950177935944]"
62,"(0.3293172690763052, 0.10526315789473685)","[0.25, 0.30158730158730157, 0.2896341463414634]"
63,"(0.5399568034557235, 0.35574837310195234)","[0.4603174603174603, 0.453125, 0.45454545454545464]"
64,"(0.5196078431372548, 0.42574257425742573)","[0.425, 0.7727272727272727, 0.6640625]"
65,"(0.6544502617801048, 0.6105263157894736)","[0.5391304347826087, 0.8266666666666667, 0.7469879518072289]"
66,"(0.67, 0.5757575757575758)","[0.631578947368421, 0.6792452830188679, 0.6691449814126395]"
67,"(0.6336633663366336, 0.5599999999999999)","[0.5555555555555556, 0.6122448979591837, 0.5999999999999999]"
68,"(0.5588235294117646, 0.40740740740740744)","[0.5857142857142857, 0.5857142857142857, 0.5857142857142857]"
69,"(0.4890829694323144, 0.40528634361233484)","[0.42857142857142855, 0.4918032786885246, 0.4777070063694268]"
70,"(0.5073529411764706, 0.3333333333333333)","[0.4246575342465753, 0.47692307692307695, 0.4654654654654655]"
71,"(0.45360824742268036, 0.3391003460207613)","[0.34782608695652173, 0.47761194029850745, 0.4444444444444444]"
72,"(0.2893081761006289, 0.050955414012738856)","[0.24444444444444444, 0.22, 0.2244897959183673]"
73,"(0.3602941176470589, 0.1851851851851852)","[0.23711340206185566, 0.3150684931506849, 0.2956298200514139]"
74,"(0.43333333333333335, 0.26174496644295303)","[0.36082474226804123, 0.47297297297297297, 0.44529262086514]"
75,"(0.4942084942084942, 0.43579766536964976)","[0.29347826086956524, 0.675, 0.5357142857142857]"
76,"(0.36641221374045796, 0.14615384615384616)","[0.1724137931034483, 0.15625, 0.1592356687898089]"
77,"(0.6537216828478964, 0.5863192182410424)","[0.6923076923076923, 0.6164383561643836, 0.6302521008403362]"
78,"(0.5165562913907285, 0.3624161073825503)","[0.5882352941176471, 0.4, 0.4273504273504274]"
79,"(0.6079295154185022, 0.5244444444444445)","[0.625, 0.5932203389830508, 0.5993150684931506]"
80,"(0.4870848708487085, 0.3048327137546469)","[0.34285714285714286, 0.4067796610169492, 0.3921568627450981]"
81,"(0.5372168284789643, 0.3583061889250814)","[0.5147058823529411, 0.4666666666666667, 0.47554347826086957]"
82,"(0.6638655462184874, 0.635593220338983)","[0.5531914893617021, 0.9454545454545454, 0.8280254777070064]"
83,"(0.5988023952095808, 0.4606060606060606)","[0.5531914893617021, 0.6666666666666666, 0.6403940886699507]"
84,"(0.5454545454545454, 0.38285714285714284)","[0.46153846153846156, 0.48, 0.4761904761904762]"
85,"(0.5821917808219177, 0.4551724137931034)","[0.5316455696202531, 0.65625, 0.6268656716417911]"
86,"(0.38202247191011235, 0.3181818181818182)","[0.2903225806451613, 0.43902439024390244, 0.39823008849557523]"
87,"(0.3602941176470589, 0.1851851851851852)","[0.23711340206185566, 0.3150684931506849, 0.2956298200514139]"
88,"(0.45801526717557256, 0.4186046511627907)","[0.5714285714285714, 0.5405405405405406, 0.5464480874316939]"
89,"(0.570281124497992, 0.41295546558704455)","[0.5, 0.4444444444444444, 0.45454545454545453]"
90,"(0.3821656050955414, 0.25806451612903225)","[0.3333333333333333, 0.4864864864864865, 0.4455445544554455]"
91,"(0.5714285714285714, 0.4273504273504274)","[0.59375, 0.48717948717948717, 0.5053191489361702]"
92,"(0.34042553191489366, 0.2043010752688172)","[0.37209302325581395, 0.2711864406779661, 0.28673835125448033]"
93,"(0.61671469740634, 0.48695652173913045)","[0.6153846153846154, 0.49382716049382713, 0.5141388174807198]"
94,"(0.43203883495145634, 0.2634146341463414)","[0.4, 0.4166666666666667, 0.4132231404958678]"
95,"(0.3859649122807017, 0.2958579881656805)","[0.5517241379310345, 0.25806451612903225, 0.28880866425992785]"
96,"(0.36595744680851056, 0.22317596566523604)","[0.41379310344827586, 0.3037974683544304, 0.32085561497326204]"
97,"(0.4444444444444445, 0.3146067415730337)","[0.3392857142857143, 0.35185185185185186, 0.3492647058823529]"
98,"(0.5573770491803278, 0.4530386740331491)","[0.5416666666666666, 0.5, 0.5078125]"
99,"(0.5829596412556054, 0.5585585585585586)","[0.40522875816993464, 0.9253731343283582, 0.7363420427553443]"
100,"(0.5038167938931298, 0.36153846153846153)","[0.4177215189873418, 0.5076923076923077, 0.48672566371681414]"
101,"(0.29113924050632917, 0.10256410256410256)","[0.19148936170212766, 0.2, 0.19823788546255508]"
102,"(0.5816993464052287, 0.42763157894736836)","[0.4375, 0.625, 0.5756578947368421]"
103,"(0.42857142857142855, 0.3222222222222222)","[0.4146341463414634, 0.3469387755102041, 0.3586497890295359]"
104,"(0.5687203791469194, 0.4688995215311005)","[0.45614035087719296, 0.49056603773584906, 0.483271375464684]"
105,"(0.39772727272727276, 0.26436781609195403)","[0.3877551020408163, 0.4318181818181818, 0.4222222222222222]"
106,"(0.4268292682926829, 0.3703703703703704)","[0.3103448275862069, 0.5142857142857142, 0.4545454545454545]"
107,"(0.5303030303030303, 0.3893129770992366)","[0.4507042253521127, 0.45714285714285713, 0.4558404558404559]"
108,"(0.3463687150837989, 0.1694915254237288)","[0.28846153846153844, 0.3488372093023256, 0.33482142857142855]"
109,"(0.3738317757009346, 0.1792452830188679)","[0.22413793103448276, 0.26, 0.251937984496124]"
110,"(0.6194690265486725, 0.5)","[0.6785714285714286, 0.5588235294117647, 0.5792682926829269]"
111,"(0.6369426751592356, 0.5677419354838711)","[0.5581395348837209, 0.6666666666666666, 0.6417112299465241]"
112,"(0.23318385650224213, 0.00904977375565611)","[0.08064516129032258, 0.09803921568627451, 0.09398496240601503]"
113,"(0.7423580786026202, 0.6079295154185023)","[0.7017543859649122, 0.6896551724137931, 0.6920415224913494]"
114,"(0.5307692307692307, 0.34883720930232553)","[0.3684210526315789, 0.4666666666666667, 0.44303797468354433]"
115,"(0.48051948051948057, 0.32894736842105265)","[0.3469387755102041, 0.4722222222222222, 0.44041450777202074]"
116,"(0.7479674796747968, 0.6803278688524591)","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143]"
117,"(0.6985645933014354, 0.6280193236714976)","[0.7547169811320755, 0.6896551724137931, 0.7017543859649124]"
118,"(0.6153846153846153, 0.5595854922279794)","[0.5306122448979592, 0.6666666666666666, 0.6341463414634148]"
119,"(0.5487077534791253, 0.3313373253493014)","[0.36134453781512604, 0.46236559139784944, 0.4378818737270876]"
120,"(0.3745318352059925, 0.1509433962264151)","[0.30158730158730157, 0.25333333333333335, 0.26170798898071623]"
121,"(0.41059602649006616, 0.1893687707641196)","[0.25396825396825395, 0.2318840579710145, 0.2359882005899705]"
122,"(0.7224669603524229, 0.6488888888888888)","[0.6851851851851852, 0.6851851851851852, 0.6851851851851851]"
123,"(0.5683060109289617, 0.4419889502762431)","[0.4782608695652174, 0.5, 0.4954954954954955]"
124,"(0.48484848484848486, 0.3673469387755102)","[0.39655172413793105, 0.5111111111111111, 0.4831932773109243]"
125,"(0.1839080459770115, 0.05813953488372093)","[0.21428571428571427, 0.16363636363636364, 0.1717557251908397]"
126,"(0.5816993464052287, 0.42763157894736836)","[0.4375, 0.625, 0.5756578947368421]"
127,"(0.5921787709497206, 0.5084745762711865)","[0.5454545454545454, 0.4897959183673469, 0.5]"
128,"(0.46296296296296297, 0.2616822429906542)","[0.3898305084745763, 0.42592592592592593, 0.41818181818181827]"
129,"(0.4925373134328358, 0.3007518796992481)","[0.35294117647058826, 0.375, 0.3703703703703704]"
130,"(0.45503791982665226, 0.251900108577633)","[0.37158469945355194, 0.3333333333333333, 0.34034034034034033]"
131,"(0.624203821656051, 0.5256410256410257)","[0.6607142857142857, 0.44047619047619047, 0.47193877551020413]"
132,"(0.5765765765765766, 0.4290030211480363)","[0.4588235294117647, 0.4936708860759494, 0.48628428927680795]"
133,"(0.5810055865921787, 0.519774011299435)","[0.6153846153846154, 0.5217391304347826, 0.5381165919282511]"
134,"(0.562091503267974, 0.5033112582781457)","[0.6486486486486487, 0.5, 0.5240174672489083]"
135,"(0.8085106382978725, 0.7811158798283262)","[0.7704918032786885, 0.8245614035087719, 0.8131487889273357]"
136,"(0.49382716049382713, 0.36514522821576767)","[0.49019607843137253, 0.36764705882352944, 0.38699690402476783]"
137,"(0.6878980891719746, 0.6602564102564102)","[0.6067415730337079, 0.9310344827586207, 0.8411214953271029]"
138,"(0.38095238095238104, 0.24096385542168675)","[0.39473684210526316, 0.2777777777777778, 0.29527559055118113]"
139,"(0.4393063583815029, 0.32748538011695905)","[0.3617021276595745, 0.3695652173913043, 0.36796536796536794]"
140,"(0.5645756457564576, 0.40740740740740744)","[0.48, 0.46511627906976744, 0.46801872074883]"
141,"(0.4574209245742093, 0.2836185819070905)","[0.3445378151260504, 0.41836734693877553, 0.40117416829745606]"
142,"(0.6700507614213198, 0.5663265306122448)","[0.5420560747663551, 0.7160493827160493, 0.6728538283062644]"
143,"(0.16666666666666666, 0.025974025974025972)","[0.13157894736842105, 0.09803921568627451, 0.10330578512396693]"
144,"(0.5765765765765766, 0.4290030211480363)","[0.4588235294117647, 0.4936708860759494, 0.48628428927680795]"
145,"(0.3394495412844037, 0.0925925925925926)","[0.22807017543859648, 0.19402985074626866, 0.19999999999999998]"
146,"(0.6053639846743295, 0.5096525096525097)","[0.5384615384615384, 0.6481481481481481, 0.6227758007117437]"
147,"(0.6684636118598383, 0.5365853658536585)","[0.6097560975609756, 0.6024096385542169, 0.603864734299517]"
148,"(0.736196319018405, 0.6790123456790124)","[0.7125, 0.76, 0.7499999999999999]"
149,"(0.6984126984126984, 0.6310160427807487)","[0.673469387755102, 0.7021276595744681, 0.6962025316455696]"
150,"(0.7615384615384615, 0.6666666666666667)","[0.7166666666666667, 0.7413793103448276, 0.7363013698630138]"
151,"(0.6637168141592921, 0.5982142857142856)","[0.6730769230769231, 0.5737704918032787, 0.5912162162162162]"
152,"(0.5681818181818181, 0.4200913242009133)","[0.6037735849056604, 0.6037735849056604, 0.6037735849056604]"
153,"(0.5357142857142857, 0.3873873873873873)","[0.39705882352941174, 0.6428571428571429, 0.5720338983050847]"
154,"(0.49333333333333335, 0.4324324324324324)","[0.5789473684210527, 0.5238095238095238, 0.5339805825242718]"
155,"(0.70042194092827, 0.6127659574468085)","[0.6140350877192983, 0.7142857142857143, 0.691699604743083]"
156,"(0.234375, 0.04761904761904762)","[0.09302325581395349, 0.11764705882352941, 0.11173184357541899]"
157,"(0.6878980891719746, 0.6602564102564102)","[0.6067415730337079, 0.9310344827586207, 0.8411214953271029]"
158,"(0.5620915032679737, 0.4276315789473685)","[0.5342465753424658, 0.5652173913043478, 0.5587392550143266]"
159,"(0.45026178010471196, 0.2645502645502646)","[0.3269230769230769, 0.4722222222222222, 0.4336734693877551]"
160,"(0.5657142857142857, 0.4310344827586207)","[0.6486486486486487, 0.5714285714285714, 0.5853658536585367]"
161,"(0.54320987654321, 0.515527950310559)","[0.39344262295081966, 0.9230769230769231, 0.7272727272727273]"
162,"(0.4895833333333333, 0.35789473684210527)","[0.41509433962264153, 0.4888888888888889, 0.47210300429184543]"
163,"(0.93048128342246, 0.8972972972972973)","[0.8958333333333334, 0.9347826086956522, 0.9267241379310347]"
164,"(0.7195121951219511, 0.6543209876543209)","[0.6470588235294118, 0.7333333333333333, 0.7142857142857143]"
165,"(0.48430493273542596, 0.38009049773755654)","[0.6, 0.38571428571428573, 0.41538461538461546]"
166,"(0.5341246290801187, 0.3343283582089552)","[0.43243243243243246, 0.43243243243243246, 0.43243243243243246]"
167,"(0.6499999999999999, 0.539568345323741)","[0.5466666666666666, 0.6307692307692307, 0.6119402985074627]"
168,"(0.6000000000000001, 0.44954128440366975)","[0.625, 0.625, 0.625]"
169,"(0.6037735849056604, 0.43312101910828027)","[0.4888888888888889, 0.5238095238095238, 0.5164319248826291]"
170,"(0.4516129032258065, 0.29767441860465116)","[0.45, 0.421875, 0.4272151898734178]"
171,"(0.6927374301675978, 0.6553672316384181)","[0.6595744680851063, 0.775, 0.7487922705314011]"
172,"(0.6009852216748768, 0.5373134328358209)","[0.48214285714285715, 0.675, 0.625]"
173,"(0.6051282051282051, 0.48704663212435234)","[0.5333333333333333, 0.47058823529411764, 0.4819277108433735]"
174,"(0.6606334841628959, 0.5753424657534246)","[0.5666666666666667, 0.6938775510204082, 0.6640625]"
175,"(0.5194805194805195, 0.36681222707423583)","[0.375, 0.5869565217391305, 0.52734375]"
176,"(0.6131386861313868, 0.5185185185185186)","[0.7058823529411765, 0.5581395348837209, 0.5825242718446602]"
177,"(0.4262295081967213, 0.2099447513812155)","[0.3018867924528302, 0.35555555555555557, 0.34334763948497854]"
178,"(0.6297577854671279, 0.6062717770034842)","[0.48314606741573035, 0.9347826086956522, 0.7875457875457875]"
179,"(0.2486486486486486, 0.03278688524590164)","[0.3333333333333333, 0.25925925925925924, 0.2713178294573643]"
180,"(0.5450733752620546, 0.37894736842105264)","[0.4594594594594595, 0.5151515151515151, 0.5029585798816567]"
181,"(0.6685082872928177, 0.5833333333333334)","[0.7065217391304348, 0.6372549019607843, 0.6499999999999999]"
182,"(0.6130653266331658, 0.5076142131979695)","[0.6739130434782609, 0.5254237288135594, 0.5496453900709221]"
183,"(0.5661538461538461, 0.34674922600619196)","[0.38028169014084506, 0.39705882352941174, 0.3935860058309038]"
184,"(0.5367965367965368, 0.38427947598253276)","[0.4838709677419355, 0.44776119402985076, 0.4545454545454546]"
185,"(0.4900662251655629, 0.40268456375838935)","[0.47619047619047616, 0.5, 0.49504950495049505]"
186,"(0.6938775510204083, 0.6288659793814433)","[0.6595744680851063, 0.7560975609756098, 0.7345971563981043]"
187,"(0.5213270142180095, 0.430622009569378)","[0.40350877192982454, 0.5, 0.4771784232365146]"
188,"(0.5180722891566265, 0.3902439024390244)","[0.5116279069767442, 0.43137254901960786, 0.44534412955465585]"
189,"(0.40174672489082974, 0.27312775330396477)","[0.2608695652173913, 0.391304347826087, 0.3557312252964427]"
190,"(0.42006269592476486, 0.26498422712933756)","[0.3409090909090909, 0.36585365853658536, 0.360576923076923]"
191,"(0.6688524590163935, 0.5940594059405941)","[0.7192982456140351, 0.6119402985074627, 0.6307692307692307]"
192,"(0.6779661016949152, 0.583941605839416)","[0.6395348837209303, 0.5729166666666666, 0.5851063829787234]"
193,"(0.6705882352941176, 0.5952380952380951)","[0.6666666666666666, 0.6341463414634146, 0.6403940886699507]"
194,"(0.5833333333333334, 0.4819277108433735)","[0.5087719298245614, 0.6170212765957447, 0.5918367346938775]"
195,"(0.45132743362831856, 0.29464285714285715)","[0.41509433962264153, 0.41509433962264153, 0.41509433962264153]"
196,"(0.5343511450381679, 0.45012787723785164)","[0.5212765957446809, 0.49, 0.49595141700404866]"
197,"(0.38596491228070173, 0.25)","[0.3888888888888889, 0.4117647058823529, 0.40697674418604646]"
198,"(0.5945945945945946, 0.5510204081632654)","[0.4329896907216495, 0.875, 0.7266435986159171]"
199,"(0.5560165975103735, 0.49372384937238495)","[0.43243243243243246, 0.7272727272727273, 0.64]"
200,"(0.5830508474576271, 0.4557823129251701)","[0.4855072463768116, 0.6568627450980392, 0.6135531135531135]"
201,"(0.7065527065527065, 0.6418338108882522)","[0.6707317073170732, 0.7236842105263158, 0.7124352331606219]"
202,"(0.4741144414168937, 0.33972602739726027)","[0.42, 0.45652173913043476, 0.44871794871794873]"
203,"(0.4077669902912621, 0.24509803921568624)","[0.3333333333333333, 0.34615384615384615, 0.3435114503816794]"
204,"(0.502092050209205, 0.34599156118143454)","[0.41818181818181815, 0.4423076923076923, 0.4372623574144487]"
205,"(0.5311203319502075, 0.37656903765690375)","[0.47692307692307695, 0.5, 0.49520766773162933]"
206,"(0.4324324324324324, 0.2537764350453172)","[0.29523809523809524, 0.5166666666666667, 0.4492753623188406]"
207,"(0.4690265486725664, 0.3482142857142857)","[0.39655172413793105, 0.40350877192982454, 0.4020979020979021]"
208,"(0.6459143968871596, 0.5568627450980392)","[0.582089552238806, 0.7222222222222222, 0.6890459363957597]"
209,"(0.38626609442060084, 0.12987012987012989)","[0.25862068965517243, 0.28846153846153844, 0.28195488721804507]"
210,"(0.5526315789473684, 0.45333333333333337)","[0.5135135135135135, 0.4634146341463415, 0.4726368159203981]"
211,"(0.4823529411764706, 0.35714285714285715)","[0.5319148936170213, 0.4166666666666667, 0.4355400696864112]"
212,"(0.5114345114345115, 0.3966597077244259)","[0.5555555555555556, 0.390625, 0.4152823920265781]"
213,"(0.440506329113924, 0.2544529262086514)","[0.35135135135135137, 0.36792452830188677, 0.3644859813084112]"
214,"(0.3386243386243386, 0.18181818181818182)","[0.31666666666666665, 0.3584905660377358, 0.3492647058823529]"
215,"(0.6344827586206897, 0.6111111111111112)","[0.45555555555555555, 0.9318181818181818, 0.7706766917293233]"
216,"(0.5945945945945946, 0.4794520547945205)","[0.5454545454545454, 0.631578947368421, 0.6122448979591836]"
217,"(0.5476190476190477, 0.456)","[0.42028985507246375, 0.5918367346938775, 0.5471698113207548]"
218,"(0.5120772946859904, 0.3414634146341463)","[0.4, 0.43137254901960786, 0.42471042471042475]"
219,"(0.4784313725490196, 0.3715415019762846)","[0.4507042253521127, 0.463768115942029, 0.46109510086455335]"
220,"(0.6149870801033592, 0.4987012987012987)","[0.5700934579439252, 0.6853932584269663, 0.6587473002159827]"
221,"(0.7023809523809523, 0.6385542168674698)","[0.7111111111111111, 0.7272727272727273, 0.7239819004524888]"
222,"(0.6051282051282051, 0.5077720207253885)","[0.44776119402985076, 0.7142857142857143, 0.6382978723404256]"
223,"(0.3958333333333333, 0.1894736842105263)","[0.36538461538461536, 0.37254901960784315, 0.37109375000000006]"
224,"(0.39423076923076916, 0.27184466019417475)","[0.3064516129032258, 0.35185185185185186, 0.34172661870503596]"
225,"(0.43103448275862066, 0.2521739130434783)","[0.36065573770491804, 0.36065573770491804, 0.36065573770491804]"
226,"(0.5968586387434555, 0.5079365079365079)","[0.7555555555555555, 0.5230769230769231, 0.5573770491803279]"
227,"(0.5746268656716418, 0.4360902255639098)","[0.49206349206349204, 0.47692307692307695, 0.47987616099071206]"
228,"(0.5587583148558758, 0.400890868596882)","[0.44166666666666665, 0.4690265486725664, 0.46328671328671317]"
229,"(0.5850340136054423, 0.48275862068965514)","[0.4888888888888889, 0.6470588235294118, 0.6077348066298343]"
230,"(0.5534246575342465, 0.4297520661157025)","[0.5675675675675675, 0.44680851063829785, 0.4666666666666666]"
231,"(0.7872340425531915, 0.7419354838709677)","[0.8478260869565217, 0.7090909090909091, 0.7330827067669172]"
232,"(0.34013605442176864, 0.16551724137931034)","[0.23404255319148937, 0.3055555555555556, 0.2879581151832461]"
233,"(0.5243445692883895, 0.3849056603773585)","[0.43478260869565216, 0.4411764705882353, 0.4398826979472141]"
234,"(0.5687203791469194, 0.4688995215311005)","[0.45614035087719296, 0.49056603773584906, 0.483271375464684]"
235,"(0.6326129666011788, 0.5443786982248521)","[0.6153846153846154, 0.5333333333333333, 0.5479452054794521]"
236,"(0.4574468085106383, 0.33333333333333337)","[0.5510204081632653, 0.4909090909090909, 0.5018587360594796]"
237,"(0.5865384615384615, 0.5436893203883496)","[0.6363636363636364, 0.5833333333333334, 0.5932203389830508]"
238,"(0.5515463917525774, 0.42487046632124353)","[0.47572815533980584, 0.47115384615384615, 0.4720616570327553]"
239,"(0.41489361702127664, 0.20430107526881722)","[0.30434782608695654, 0.2545454545454545, 0.2631578947368421]"
240,"(0.5402298850574714, 0.48837209302325585)","[0.4444444444444444, 0.5853658536585366, 0.5504587155963303]"
241,"(0.6237623762376238, 0.5199999999999999)","[0.6122448979591837, 0.6666666666666666, 0.6550218340611355]"
242,"(0.47798742138364775, 0.445859872611465)","[0.47058823529411764, 0.5853658536585366, 0.5581395348837209]"
243,"(0.6396917148362236, 0.5686653771760153)","[0.6776859504132231, 0.5734265734265734, 0.5916305916305917]"
244,"(0.3978494623655914, 0.19999999999999998)","[0.3466666666666667, 0.2857142857142857, 0.29612756264236906]"
245,"(0.489795918367347, 0.4413793103448276)","[0.4, 0.5454545454545454, 0.5084745762711864]"
246,"(0.36529680365296807, 0.1566820276497696)","[0.22413793103448276, 0.22033898305084745, 0.2210884353741496]"
247,"(0.6091127098321343, 0.5012048192771085)","[0.7037037037037037, 0.49137931034482757, 0.5229357798165138]"
248,"(0.38016528925619836, 0.2184873949579832)","[0.23684210526315788, 0.2727272727272727, 0.2647058823529411]"
249,"(0.54320987654321, 0.515527950310559)","[0.39344262295081966, 0.9230769230769231, 0.7272727272727273]"
250,"(0.4850746268656716, 0.3759398496240602)","[0.4186046511627907, 0.5454545454545454, 0.5142857142857143]"
251,"(0.5953488372093023, 0.5258215962441315)","[0.5671641791044776, 0.7307692307692307, 0.6909090909090908]"
252,"(0.6209781209781209, 0.42240824211204125)","[0.5543478260869565, 0.5069582504970179, 0.5157766990291263]"
253,"(0.4945652173913043, 0.38251366120218583)","[0.5833333333333334, 0.45794392523364486, 0.47851562499999994]"
254,"(0.4031007751937985, 0.21298701298701295)","[0.3225806451612903, 0.2631578947368421, 0.27322404371584696]"
255,"(0.5459770114942528, 0.34522439585730724)","[0.532, 0.39349112426035504, 0.41510611735330843]"
