,pred_summary_score,my_pred_summary_score
2343,"(0.24146981627296585, 0.15831134564643798)","[0.8235294117647058, 0.1917808219178082, 0.22653721682847894]"
4380,"(0.5633802816901408, 0.35714285714285715)","[0.75, 0.6, 0.625]"
3717,"(0.20229885057471264, 0.10161662817551963)","[0.71875, 0.13142857142857142, 0.15710382513661203]"
4031,"(0.2872628726287263, 0.24523160762942778)","[0.9210526315789473, 0.25547445255474455, 0.2986348122866894]"
3055,"(0.28679245283018867, 0.09125475285171103)","[0.5882352941176471, 0.2247191011235955, 0.2564102564102564]"
2352,"(0.15525114155251138, 0.08854961832061069)","[0.896551724137931, 0.12206572769953052, 0.14755959137343927]"
1172,"(0.393574297188755, 0.27530364372469635)","[0.9, 0.3103448275862069, 0.35714285714285715]"
3522,"(0.19494584837545123, 0.03636363636363636)","[0.41379310344827586, 0.12, 0.13986013986013987]"
1749,"(0.20809248554913298, 0.06976744186046512)","[0.6451612903225806, 0.15151515151515152, 0.17889087656529518]"
82,"(0.2352941176470588, 0.09014084507042254)","[0.7741935483870968, 0.18181818181818182, 0.21466905187835422]"
2392,"(0.14432989690721648, 0.049689440993788817)","[0.5882352941176471, 0.12578616352201258, 0.1492537313432836]"
3426,"(0.2661596958174905, 0.11494252873563217)","[0.6857142857142857, 0.23076923076923078, 0.2660753880266076]"
981,"(0.4161073825503356, 0.163265306122449)","[0.6333333333333333, 0.4418604651162791, 0.4702970297029703]"
3866,"(0.125, 0.037037037037037035)","[0.2413793103448276, 0.07692307692307693, 0.08905852417302798]"
517,"(0.22030237580993517, 0.1561822125813449)","[0.9696969696969697, 0.1871345029239766, 0.2231520223152022]"
1585,"(0.4464285714285714, 0.3783783783783784)","[0.8484848484848485, 0.3146067415730337, 0.35989717223650386]"
3850,"(0.205761316872428, 0.06639004149377593)","[0.4864864864864865, 0.20454545454545456, 0.23136246786632392]"
4271,"(0.21495327102803738, 0.15492957746478872)","[0.7037037037037037, 0.12101910828025478, 0.1450381679389313]"
1004,"(0.16705336426914155, 0.11655011655011654)","[0.75, 0.10606060606060606, 0.12804878048780488]"
2640,"(0.26506024096385544, 0.04858299595141701)","[0.5263157894736842, 0.23529411764705882, 0.26455026455026454]"
3111,"(0.2236421725239617, 0.07717041800643087)","[0.59375, 0.1743119266055046, 0.20299145299145302]"
750,"(0.27607361963190186, 0.19753086419753085)","[0.75, 0.20388349514563106, 0.23863636363636365]"
2846,"(0.22424242424242424, 0.0548780487804878)","[0.5526315789473685, 0.17073170731707318, 0.19811320754716982]"
2100,"(0.2591362126245847, 0.06688963210702341)","[0.4838709677419355, 0.13761467889908258, 0.1605995717344754]"
2432,"(0.07017543859649122, 0.03519061583577713)","[0.3235294117647059, 0.040892193308550186, 0.04954954954954955]"
4504,"(0.0891304347826087, 0.032679738562091505)","[0.78125, 0.07374631268436578, 0.09005763688760807]"
3355,"(0.2538699690402477, 0.11214953271028037)","[0.7666666666666667, 0.21296296296296297, 0.24891774891774893]"
516,"(0.1508704061895551, 0.07378640776699029)","[0.8181818181818182, 0.135678391959799, 0.16284680337756333]"
3760,"(0.1789137380191693, 0.1506410256410256)","[0.9333333333333333, 0.1346153846153846, 0.16241299303944315]"
881,"(0.27058823529411763, 0.1775147928994083)","[0.8484848484848485, 0.22950819672131148, 0.2687140115163148]"
572,"(0.10538922155688624, 0.057623049219687875)","[0.6388888888888888, 0.07516339869281045, 0.09126984126984125]"
859,"(0.16179775280898878, 0.06772009029345373)","[0.6764705882352942, 0.14556962025316456, 0.1726726726726727]"
441,"(0.43661971830985913, 0.15714285714285714)","[0.6153846153846154, 0.32653061224489793, 0.36036036036036034]"
636,"(0.1987577639751553, 0.1288981288981289)","[0.967741935483871, 0.19607843137254902, 0.23328149300155518]"
3464,"(0.38655462184873945, 0.17094017094017092)","[0.5909090909090909, 0.28888888888888886, 0.3217821782178218]"
1890,"(0.2389380530973451, 0.2088888888888889)","[0.9142857142857143, 0.20382165605095542, 0.2413273001508296]"
4051,"(0.24303797468354432, 0.18829516539440203)","[0.868421052631579, 0.23404255319148937, 0.2740863787375415]"
3338,"(0.26490066225165565, 0.11333333333333334)","[0.75, 0.19834710743801653, 0.2325581395348837]"
4213,"(0.16785714285714284, 0.12544802867383514)","[0.8260869565217391, 0.09895833333333333, 0.12010113780025283]"
4116,"(0.36220472440944884, 0.2936507936507936)","[0.8108108108108109, 0.2912621359223301, 0.33407572383073497]"
2111,"(0.16901408450704225, 0.07075471698113207)","[0.7297297297297297, 0.15606936416184972, 0.18518518518518523]"
500,"(0.18329938900203666, 0.12678936605316973)","[0.8275862068965517, 0.14285714285714285, 0.1711840228245364]"
3463,"(0.29023746701846964, 0.23342175066312998)","[0.9285714285714286, 0.21138211382113822, 0.25000000000000006]"
4301,"(0.11023622047244093, 0.00790513833992095)","[0.37037037037037035, 0.04149377593360996, 0.05045408678102926]"
3204,"(0.09170731707317073, 0.056695992179863146)","[0.8857142857142857, 0.09935897435897435, 0.12081060015588464]"
1821,"(0.09090909090909091, 0.0)","[0.0, 0.0, 0]"
2860,"(0.25660377358490566, 0.12167300380228135)","[0.7741935483870968, 0.24489795918367346, 0.28368794326241137]"
4347,"(0.23214285714285718, 0.1377245508982036)","[0.6875, 0.171875, 0.20220588235294118]"
115,"(0.10294117647058823, 0.06315789473684211)","[0.8787878787878788, 0.0830945558739255, 0.10146955913226031]"
2254,"(0.1628787878787879, 0.07984790874524714)","[0.7096774193548387, 0.11891891891891893, 0.14267185473411156]"
2058,"(0.2969187675070028, 0.24225352112676057)","[0.8888888888888888, 0.26229508196721313, 0.30534351145038174]"
3492,"(0.4460431654676259, 0.1605839416058394)","[0.5882352941176471, 0.46511627906976744, 0.4854368932038835]"
3780,"(0.2985074626865672, 0.1206030150753769)","[0.375, 0.1643835616438356, 0.1851851851851852]"
3627,"(0.2702702702702703, 0.16918429003021146)","[0.7941176470588235, 0.2621359223300971, 0.30269058295964124]"
87,"(0.3383458646616541, 0.13636363636363635)","[0.7272727272727273, 0.2926829268292683, 0.332409972299169]"
2896,"(0.2216624685138539, 0.13670886075949368)","[0.7647058823529411, 0.16666666666666666, 0.19756838905775076]"
1747,"(0.19672131147540983, 0.05)","[0.21428571428571427, 0.17142857142857143, 0.1785714285714286]"
406,"(0.15068493150684933, 0.02293577981651376)","[0.5277777777777778, 0.1043956043956044, 0.1243455497382199]"
75,"(0.18905472636815918, 0.08)","[0.6176470588235294, 0.13636363636363635, 0.16153846153846152]"
1046,"(0.09939148073022312, 0.0711382113821138)","[0.8333333333333334, 0.07861635220125786, 0.09600614439324118]"
641,"(0.21875, 0.10471204188481675)","[0.7777777777777778, 0.19718309859154928, 0.23178807947019864]"
2115,"(0.33447098976109213, 0.23367697594501718)","[0.918918918918919, 0.2833333333333333, 0.3288201160541586]"
3477,"(0.15140845070422534, 0.07420494699646644)","[0.65625, 0.09722222222222222, 0.1171875]"
698,"(0.17662337662337663, 0.031331592689295036)","[0.6896551724137931, 0.145985401459854, 0.17331022530329288]"
4000,"(0.26506024096385544, 0.08097165991902834)","[0.4, 0.12987012987012986, 0.15015015015015012]"
4495,"(0.2684931506849315, 0.1928374655647383)","[0.78125, 0.1724137931034483, 0.2042483660130719]"
463,"(0.18823529411764703, 0.14173228346456693)","[0.9310344827586207, 0.14361702127659576, 0.17285531370038412]"
225,"(0.13573407202216067, 0.08055555555555556)","[0.868421052631579, 0.11458333333333333, 0.13865546218487393]"
774,"(0.09934640522875818, 0.04193971166448231)","[0.7777777777777778, 0.07664233576642336, 0.09349955476402494]"
