,pred_summary_score,my_pred_summary_score
2343,"(0.24146981627296585, 0.15831134564643798)","[0.8235294117647058, 0.19310344827586207, 0.2280130293159609]"
4380,"(0.5633802816901408, 0.35714285714285715)","[0.7419354838709677, 0.6052631578947368, 0.6284153005464481]"
3717,"(0.2072072072072072, 0.10859728506787329)","[0.7096774193548387, 0.12941176470588237, 0.15471167369901548]"
4031,"(0.28723404255319146, 0.2459893048128342)","[0.9459459459459459, 0.2755905511811024, 0.32110091743119273]"
3055,"(0.2857142857142857, 0.09090909090909091)","[0.5882352941176471, 0.22988505747126436, 0.2617801047120419]"
2352,"(0.15709969788519637, 0.09090909090909091)","[0.896551724137931, 0.1262135922330097, 0.15240328253223914]"
1172,"(0.38431372549019605, 0.2687747035573122)","[0.9, 0.3176470588235294, 0.3648648648648648]"
3522,"(0.19285714285714284, 0.03597122302158273)","[0.39285714285714285, 0.1134020618556701, 0.13221153846153846]"
1749,"(0.2016806722689076, 0.0676056338028169)","[0.6774193548387096, 0.16153846153846155, 0.19056261343012706]"
82,"(0.24175824175824176, 0.08839779005524862)","[0.7619047619047619, 0.1391304347826087, 0.1663201663201663]"
2392,"(0.1417004048582996, 0.05284552845528455)","[0.5757575757575758, 0.12751677852348994, 0.15103338632750396]"
3426,"(0.27611940298507465, 0.12030075187969924)","[0.7272727272727273, 0.23529411764705882, 0.272108843537415]"
981,"(0.4105960264900662, 0.17449664429530198)","[0.6333333333333333, 0.4318181818181818, 0.4611650485436894]"
3866,"(0.12142857142857143, 0.03597122302158273)","[0.2413793103448276, 0.07865168539325842, 0.0909090909090909]"
517,"(0.21841541755888652, 0.15483870967741936)","[0.9696969696969697, 0.19047619047619047, 0.22695035460992907]"
1585,"(0.4405286343612335, 0.37333333333333335)","[0.9090909090909091, 0.3488372093023256, 0.3978779840848806]"
3850,"(0.21224489795918366, 0.06584362139917696)","[0.4864864864864865, 0.20930232558139536, 0.23622047244094488]"
4271,"(0.21247113163972287, 0.1531322505800464)","[0.7407407407407407, 0.13157894736842105, 0.1574803149606299]"
1004,"(0.16475972540045766, 0.1103448275862069)","[0.75, 0.1076923076923077, 0.12995049504950495]"
2640,"(0.26399999999999996, 0.04838709677419355)","[0.5, 0.2222222222222222, 0.25]"
3111,"(0.22151898734177217, 0.07643312101910828)","[0.6451612903225806, 0.18181818181818182, 0.2123142250530786]"
750,"(0.2865853658536585, 0.19631901840490795)","[0.8076923076923077, 0.21649484536082475, 0.25362318840579706]"
2846,"(0.23145400593471813, 0.05373134328358209)","[0.6285714285714286, 0.2037037037037037, 0.2355460385438972]"
2100,"(0.256578947368421, 0.06622516556291391)","[0.4482758620689655, 0.12871287128712872, 0.15011547344110854]"
2432,"(0.06886657101865136, 0.03453237410071943)","[0.3548387096774194, 0.039568345323741004, 0.048118985126859144]"
4504,"(0.08723404255319149, 0.03198294243070362)","[0.7741935483870968, 0.07453416149068323, 0.09097801364670206]"
3355,"(0.25308641975308643, 0.11180124223602483)","[0.7666666666666667, 0.22330097087378642, 0.26018099547511314]"
516,"(0.15267175572519084, 0.07279693486590039)","[0.8275862068965517, 0.13043478260869565, 0.1568627450980392]"
3760,"(0.17777777777777778, 0.14968152866242038)","[0.9333333333333333, 0.14, 0.16867469879518074]"
881,"(0.2658959537572254, 0.17441860465116277)","[0.8787878787878788, 0.2396694214876033, 0.2804642166344294]"
572,"(0.10676156583629894, 0.057074910820451845)","[0.6764705882352942, 0.0777027027027027, 0.09441707717569787]"
859,"(0.16335540838852095, 0.06651884700665188)","[0.6764705882352942, 0.1513157894736842, 0.17912772585669784]"
441,"(0.43661971830985913, 0.15714285714285714)","[0.6153846153846154, 0.3404255319148936, 0.37383177570093457]"
636,"(0.19753086419753085, 0.12809917355371903)","[0.9642857142857143, 0.19424460431654678, 0.23116438356164384]"
3464,"(0.40875912408759124, 0.16296296296296298)","[0.5555555555555556, 0.3409090909090909, 0.3694581280788177]"
1890,"(0.2384105960264901, 0.20399113082039913)","[0.9142857142857143, 0.21333333333333335, 0.25196850393700787]"
4051,"(0.24060150375939848, 0.18639798488664988)","[0.868421052631579, 0.2391304347826087, 0.2796610169491525]"
3338,"(0.2622950819672131, 0.11221122112211218)","[0.75, 0.20689655172413793, 0.24193548387096775]"
4213,"(0.16696269982238013, 0.12477718360071302)","[0.8260869565217391, 0.10497237569060773, 0.12717536813922356]"
4116,"(0.35384615384615387, 0.2713178294573644)","[0.8108108108108109, 0.3, 0.34324942791762014]"
2111,"(0.17511520737327188, 0.06944444444444443)","[0.7647058823529411, 0.15853658536585366, 0.18840579710144925]"
